Feature,Importance
FEEDERDIAM,0.011350961
FEEDERLEN,0.011454259
OUTLSZ1,0.024775798
OUTLSZ2,0.0076924697
OUTLSZ3,0.0
UNITTYPE,0.0
LONGKEY,0.0
PLUGGED,0.0
NONSCHE,0.0
DECLREQD,0.0
HYMARKER,0.0
COLOR_BLUE,0.006803127
COLOR_GREEN,0.028817764
COLOR_ORANGE,0.007138479
MFGKEY_1.0,0.009133751
MFGKEY_1001,0.009689257
MFGKEY_1003,0.0
MFGKEY_1004,0.008881018
MFGKEY_1005.0,0.0
MFGKEY_1009,0.012313052
MFGKEY_1012,0.01988818
MFGKEY_1021,0.004727531
MFGKEY_1022,0.012935562
MFGKEY_1023.0,0.008403581
MFGKEY_1029,0.0
MFGKEY_1117,0.0051733768
MFGKEY_1881,0.011262782
MFGKEY_1,0.017931731
MFGKEY_1001.1,0.021117264
MFGKEY_1003.1,0.0008675572
MFGKEY_1004.1,0.0032940982
MFGKEY_1005,0.0074257604
MFGKEY_1007,0.007333026
MFGKEY_1009.1,0.0113996025
MFGKEY_1012.1,0.020037092
MFGKEY_1022.1,0.01459282
MFGKEY_1023,0.0047090724
MFGKEY_1029.1,0.0068265367
MFGKEY_1117.1,0.013918493
MFGKEY_1289,0.005117657
MFGKEY_1881.1,0.04115414
PRESZONE_1,0.015905032
PRESZONE_2,0.011543401
PRESZONE_2A,0.0069168075
PRESZONE_3,0.017206632
PRESZONE_4,0.013057621
PRESZONE_4A,0.0031829607
PRESZONE_5,0.013272633
PRESZONE_5A,0.011821691
PRESZONE_5B,0.005192263
PRESZONE_5D,0.0032077814
PRESZONE_6,0.020188833
PRESZONE_6A,0.0041983165
PRESZONE_7,0.008750447
PRESZONE_AV12,0.027131496
PRESZONE_AV13,0.007524644
PRESZONE_CE8,0.007330862
PRESZONE_CE9,0.0
PRESZONE_CT7,0.005419432
PRESZONE_CV12,0.009160129
PRESZONE_CV13,0.003553068
PRESZONE_IN7,0.0053367065
PRESZONE_IN8,0.0062689306
PRESZONE_MM12,0.008547906
PRESZONE_PG7,0.018843954
PRESZONE_PG8,0.008457626
PRESZONE_PG9,0.0059779324
Letters_B,0.01909673
Letters_C,0.010831374
Letters_S,0.03456525
FZONENUM_FZ-C01,0.019245131
FZONENUM_FZ-C02,0.033727698
FZONENUM_FZ-C03,0.010351102
FZONENUM_FZ-V01,0.021282775
FZONENUM_FZ-V02,0.008692224
FZONENUM_FZ-V03,0.0055960882
FZONENUM_FZ-V04,0.07635339
FZONENUM_FZ-V05,0.014653896
FZONENUM_FZ-W01,0.014248394
FZONENUM_FZ-W02,0.026491262
FZONENUM_FZ-W03,0.011242195
FZONENUM_FZ-W04,0.014324413
AGE,0.01905867
PHREAD,0.006294263
SEASON,0.0060372436
FLSHDATE_DELTA,0.02374506
WW220003993,0.0
WW220004000,0.0
WW220004037,0.0
WW260002590,0.0
WW260094120,0.0
